Age,Revenu_annuel,Depenses_mensuelles
66,9339226,64876
54,5804498,54542
25,2789539,96309
32,7150837,47520
25,2540443,57421
32,3885754,87233
36,878871,73572
57,6095373,23831
40,5407586,33956
39,3631563,38717
39,2828027,64397
37,8214962,26410
30,8656985,80469
61,7739025,58013
32,3138695,10411
26,7763721,37849
40,8211553,46846
28,3972851,48222
18,1695315,14924
43,9191794,42223
21,2112607,12387
18,1143367,97605
40,5810438,97660
48,9812839,13533
56,4677716,54710
57,4403530,29040
48,3055900,28524
45,8538856,78385
24,5843789,98874
28,6661735,31209
27,4102703,40141
20,435501,61300
55,1940093,54413
32,2496322,37171
47,7135140,80362
32,1183511,24271
30,6345950,25837
46,1230434,66129
41,4650274,93659
32,529219,33810
43,9099776,17065
44,5340796,53360
50,9434820,23496
50,1043860,88084
57,6319933,61683
51,3480161,33277
68,6734147,30224
21,651323,18764
67,458238,19376
24,6942589,91174
54,9347755,83328
24,6602926,89482
62,9868038,56663
69,573323,86875
32,6156460,98386
21,1671897,82704
44,1271140,68759
19,1715402,81705
23,7715019,84468
32,3394830,86142
63,9248832,92205
26,4334836,39826
34,4764373,97732
55,1171684,32667
68,7756596,71178
69,6811394,33559
62,7688137,29669
49,1908096,20811
29,9287073,76289
66,3695831,79125
62,8681486,40596
68,4648793,87328
53,7679477,75708
56,6835549,59676
48,4048041,77766
31,9794182,84922
52,1391910,38843
48,6605176,88714
33,6425438,77203
55,5936855,49711
69,188223,11307
23,7299637,84402
61,5860131,66231
36,3238679,12849
36,6489589,82748
33,6089108,83354
56,4276711,33226
45,5482325,92097
17,6202073,17540
37,9729039,93426
66,1672972,73333
44,9821825,13283
33,6449293,15689
23,9879492,23867
30,5832548,13164
19,7936624,93855
54,4852060,26950
59,3227130,73342
29,147413,86497
20,2624161,75306
45,9045073,73882
28,7274414,63917
31,1268174,32051
45,6608132,95743
38,5606500,95833
28,8573871,78897
67,2148933,26622
19,5794286,83143
45,8153530,62610
40,8176859,82522
64,4647426,97711
61,1981006,19414
35,4401939,91277
43,8748749,52649
61,8833086,86157
63,466799,98069
27,3940863,15597
42,6305710,26467
24,8417034,25218
33,1907586,92170
62,9749193,58431
51,2850775,58149
46,2749540,16078
33,9019988,97686
67,5393241,47126
66,6249977,81930
35,5260649,63173
34,8267118,60030
18,3418116,39291
25,1380642,56375
65,1442857,71376
32,9215590,77219
23,3188656,54277
19,4985549,33582
