produit_prix,concurrent_prix
2871,3366
1800,7367
4817,7127
6547,7779
2821,1859
7051,7679
5458,4152
1606,3072
4180,1770
6008,6611
7709,2909
2270,9517
2354,4862
6650,1177
3961,9683
3702,2409
1344,7644
3107,5652
5460,4376
2057,5952
2488,1063
3560,2375
5158,9657
1446,5057
1589,9067
4481,2857
4331,5182
9100,9424
1743,6819
7806,1846
7772,4581
9446,4190
4911,7833
2394,9972
2506,3893
2755,9595
1861,5042
5271,9960
5172,9947
2040,2486
7471,3615
6439,7397
5486,9268
8481,2337
3723,6345
3248,4156
8376,8747
8492,8668
7211,3854
8579,5423
8767,7713
1461,4276
5207,9067
9020,6582
1896,4359
9207,3621
5099,8589
1829,6495
6306,9079
2146,8065
4815,3097
8856,1869
2799,2866
2617,5000
9922,6585
1685,2432
2753,6031
2340,7435
7640,4016
3592,9313
5549,4446
3768,2535
3485,1938
1293,4179
8529,7596
6849,5323
7606,8609
6195,9217
1464,5884
1889,9339
2963,9324
7363,4392
3214,3102
9848,1419
7072,8354
1547,4118
8516,4125
2076,5723
6555,4725
3912,2081
6125,2811
2047,8114
2270,4813
3995,1452
2058,7572
1449,2287
4766,3624
3370,6931
1115,9328
1736,6829
