Année,Croissance_du_PIB_national,Croissance_du_PIB_mondial,Taux_de_chômage_national,Taux_de_chômage_mondial,Taux_d'inflation
2016,2.9051460317837563,7.696938595757345,6.572665032169956,17.53347290651397,2.5085478079582284
2017,3.479898556305778,6.31129338980701,9.873941195971696,19.982551311800336,2.7744935841384013
2018,2.8479977170159847,6.395235913491082,5.746321692698326,12.983369479984447,1.7955356375671985
2019,2.728557627714882,6.456152291021316,8.947535306176036,15.150168743494513,2.215632726584788
2020,2.8639133049548797,7.042946656593066,9.87333941877181,19.936690680922187,1.1897629814479533
2021,3.3074687892794286,8.199466161083624,4.895203021626901,19.63106135717686,1.109173467558061
2022,2.247954063553838,7.690535056689283,6.352525741626366,18.364251819898257,2.756690007831944
2023,2.243299363813354,7.759187227552215,8.967040017142912,10.591214886646178,1.198812044623518
2024,2.3475145693784123,9.434434983989798,5.875243389551129,8.689036956349927,1.9284268224850136
2025,3.538014010357971,8.496436549039341,8.50861807275285,18.102200569417846,2.0873108004019154
