"Dépenses 
 Alimentaires","Dépenses 
 Mode","Dépenses 
 Électroniques","Depenses 
 Abonement","Depenses 
 Voyages"
46495,68281,6832,10191,50119
89656,27097,1109,7192,55767
82664,29553,3499,18533,32669
33247,88331,5102,22069,43936
79926,10340,7200,12078,10546
22406,87847,4494,16961,70633
78322,85523,4484,24411,72864
37953,60009,3396,4208,46984
5254,73950,4168,19800,30685
85405,28678,2173,19547,22156
47993,16406,5063,23361,30808
85738,8522,1152,15259,55783
48411,62159,4706,14501,42973
71023,58318,6126,10035,65691
69986,4383,4543,10845,37063
10293,86728,8144,8741,69265
40420,53264,2847,29826,86571
13408,87342,2663,6403,54959
50035,38558,4586,11919,81898
9754,72107,5678,23982,35945
53157,61509,1252,7665,98545
36544,63500,5618,9230,45771
45961,15262,1139,15980,38209
44368,89558,3335,16948,46955
79618,67480,8156,9782,47153
56106,7602,6630,18939,61659
85345,31314,8787,24282,37709
34843,43167,1474,4811,74828
58859,36848,5371,26444,93243
66528,51321,4885,20907,81477
30445,88028,4972,8640,93818
19978,20093,3121,24699,99777
78859,67170,4129,11607,49078
36572,51983,8652,19544,60172
87263,13553,2590,25674,47009
87525,42908,8844,6073,15279
48971,47322,4649,22052,51363
80339,28711,2020,21217,13676
3814,4373,1060,20616,88277
45139,76943,3201,19180,82143
83303,88313,7823,12852,76279
84457,35956,8466,25753,81034
25378,38531,3599,26178,29059
8923,65780,6044,17930,31835
75894,11811,2179,16814,28906
28329,38456,1729,10400,62323
66730,26082,6190,18394,89051
38095,7223,2739,7165,59669
79777,54184,5477,12661,55999
10963,12668,2394,22348,22309
34171,13872,2966,26291,58676
29745,5253,1439,16688,51169
33110,28582,1849,20000,56770
42648,35242,2870,15064,42020
20333,37755,3464,9043,66445
11415,57549,5174,29062,88835
31907,13309,4906,8712,57591
46460,49371,1926,27096,36646
9994,34766,3668,19184,29459
6637,68528,3646,11312,85101
65980,21937,8448,16939,67356
74408,52171,2317,14680,72092
48875,86478,5796,4623,23504
19234,61528,8294,29886,32710
36499,32437,2833,27324,41152
30975,25249,1562,10673,82066
82585,61120,5233,11712,74850
65212,43543,3892,19202,25016
77898,59743,6613,21804,71244
23366,82136,3569,15186,22011
2276,49010,8701,5186,89566
32702,58867,3648,22617,61888
5251,44281,7498,22292,11623
40587,58110,6344,24196,51334
49804,57654,7842,24432,46012
52658,84211,7173,20363,33344
57940,81034,6631,11531,86135
37441,58497,7571,6329,99145
1205,54819,1164,15313,32041
33544,27861,2645,6243,83600
46080,3037,2819,27286,46684
22770,86599,1615,19237,84382
88274,7932,3356,9833,62847
3996,37967,8611,7541,46017
3521,25982,8511,28182,27859
54988,42790,2029,28949,83846
68104,3016,2894,20663,97821
21601,8789,7665,12109,34918
6766,50925,6509,21554,40038
21968,61822,8118,21636,32651
22745,59688,2416,22409,39634
85479,53582,2997,12422,16644
14659,32995,2741,15118,74886
