Temps,Ventes
2021-01-31,92
2021-02-28,73
2021-03-31,55
2021-04-30,71
2021-05-31,68
2021-06-30,78
2021-07-31,87
2021-08-31,53
2021-09-30,53
2021-10-31,71
2021-11-30,90
2021-12-31,96
2022-01-31,76
2022-02-28,85
2022-03-31,95
2022-04-30,65
2022-05-31,66
2022-06-30,72
2022-07-31,51
2022-08-31,93
2022-09-30,90
2022-10-31,59
2022-11-30,61
2022-12-31,53
2023-01-31,50
2023-02-28,60
2023-03-31,90
2023-04-30,95
2023-05-31,82
2023-06-30,77
2023-07-31,51
2023-08-31,54
2023-09-30,78
2023-10-31,71
2023-11-30,92
2023-12-31,51
2024-01-31,70
2024-02-29,56
2024-03-31,85
2024-04-30,78
2024-05-31,63
2024-06-30,83
2024-07-31,70
2024-08-31,54
2024-09-30,96
2024-10-31,93
2024-11-30,60
2024-12-31,67
2025-01-31,77
2025-02-28,51
2025-03-31,85
2025-04-30,66
2025-05-31,64
2025-06-30,51
2025-07-31,56
2025-08-31,95
2025-09-30,59
2025-10-31,55
2025-11-30,78
2025-12-31,94
2026-01-31,75
2026-02-28,83
2026-03-31,81
2026-04-30,82
2026-05-31,62
2026-06-30,68
2026-07-31,83
2026-08-31,54
2026-09-30,80
2026-10-31,73
2026-11-30,78
2026-12-31,87
2027-01-31,67
2027-02-28,89
2027-03-31,52
2027-04-30,99
2027-05-31,89
2027-06-30,70
2027-07-31,95
2027-08-31,64
2027-09-30,63
2027-10-31,81
2027-11-30,83
2027-12-31,92
2028-01-31,62
2028-02-29,57
2028-03-31,86
2028-04-30,84
2028-05-31,73
2028-06-30,50
2028-07-31,56
2028-08-31,56
2028-09-30,91
2028-10-31,78
2028-11-30,87
2028-12-31,57
2029-01-31,80
2029-02-28,53
2029-03-31,65
2029-04-30,80
