Country,Score
"Guinée 
 équatoriale",62
Congo,91
Cameroun,76
Congo,84
"Guinée 
 équatoriale",90
Congo,67
"République 
 centrafricaine",79
"Guinée 
 équatoriale",65
"République 
 centrafricaine",82
RDC,69
RDC,72
"République 
 centrafricaine",71
Congo,80
"Guinée 
 équatoriale",80
Cameroun,98
"Guinée 
 équatoriale",72
Angola,98
Cameroun,72
Tchad,90
Angola,72
"Guinée 
 équatoriale",72
Cameroun,95
Tchad,82
Congo,87
RDC,63
Angola,96
Cameroun,88
Angola,69
"Guinée 
 équatoriale",78
Cameroun,61
Tchad,85
"République 
 centrafricaine",61
Congo,84
Tchad,70
RDC,63
